eco_label	definition	short
ECO_0000005	A type of protein assay evidence where the catalytic activity of an enzyme is determined	enzymatic activity assay evidence
ECO_0000011	A type of experimental phenotypic evidence resulting from the effect that a given gene has on another gene or genes, and the products.	genetic interaction evidence
ECO_0000012	A type of genetic interaction evidence where a wild-type copy of the gene in question is inserted into a mutant cell to see if it restores the wild-type phenotype in the mutant background.	functional complementation evidence
ECO_0000015	A type of experimental phenotypic evidence in which an observable phenotypic difference results from a change or mutation in DNA.	mutant phenotype evidence
ECO_0000016	A type of mutant phenotype evidence where a phenotype is associated with altered gene product which lacks the molecular function of the wild-type gene.	loss-of-function mutant phenotype evidence
ECO_0000017	A type of experimental phenotypic evidence where a transgenic strain carrying the construct of a promoter cDNA fusion in which a gene of interest is driven by a defined promoter or enhancer is ectopically expressed in the defined pattern to characterize potential cellular properties and functions of a protein of interest.	ectopic expression evidence
ECO_0000022	A type of physical interaction evidence where a cellular component subunit is isolated as part of purification of its larger complex.	co-purification evidence
ECO_0000042	A type of mutant phenotype evidence resulting from an altered gene product which possesses a new molecular function or a new pattern of gene expression.	gain-of-function mutant phenotypic evidence
ECO_0000068	A type of bait-prey hybrid interaction evidence that is based on detection of protein-protein interaction by activation of a yeast reporter gene after a bait protein fused to a DNA-binding domain (which has been transfected into a yeast cell) is used to screen a cDNA library of clones fused to an activation domain.	yeast 2-hybrid evidence
ECO_0000085	A type of protein binding evidence where an antibody specific for a target protein is used to precipitate the target protein along with any other molecules (e.g. protein, nucleic acid) that are bound to the target protein.	immunoprecipitation evidence
ECO_0000096	A type of affinity evidence based on an electrophoretic mobility shift of macromolecules, where proteins, nucleic acids, or both, are combined and the resulting mixtures are electrophoresed under native conditions through polyacrylamide or agarose gel to detect interactions/complexes between proteins and/or nucleic acid.	electrophoretic mobility shift assay evidence
ECO_0000140	A type of chromatography evidence that uses a thin layer of adsorbent (such as silica gel, alumina, or cellulose) on a flat, inert substrate.	thin layer chromatography evidence
ECO_0000183	A type of direct assay evidence resulting from studies in which cytoplasmic and/or nuclear cellular components from resting, nonstimulated cells, are isolated by ultracentrifugation to provide molecular machinery that can be used in reactions in the absence of many of the other cellular components for the purpose of in vitro protein synthesis, transcription, DNA replication, etc.	cell-free assay evidence
ECO_0000184	A type of protein inhibition evidence and enzymatic acitivty evidence where the protein under study is an enzyme.	enzyme inhibition evidence
ECO_0000267	A type of protein detection assay evidence where an antigen is bound to a substrate, and an antibody directly or indirectly linked to an enzyme is utilized to determine the amount of bound antigen which is visualized with a color change in the substrate.	enzyme-linked immunoabsorbent assay evidence
ECO_0000270	A type of expression pattern evidence that is used in a manual assertion.	expression pattern evidence used in manual assertion
ECO_0000315	A type of mutant phenotype evidence that is used in a manual assertion.	mutant phenotype evidence used in manual assertion
ECO_0000325	A type of experimental evidence that is based on separation of constituent parts of a mixture (the mobile phase) as they pass differentially through a stationary phase due to differences in partition coefficient and retention on the stationary phase.	chromatography evidence
ECO_0001034	A type of structure determination evidence resulting from the use of a narrow beam of x-rays to identify molecular structures by creating a diffraction pattern.	crystallography evidence
ECO_0001038	A type of mutant phenotype evidence resulting from a mutation in which there is the removal of one or more contiguous nucleotides that may result in altered function or other measurable properties.	deletion mutation phenotypic evidence
ECO_0001049	A type of chromatography evidence resulting from the exclusion of proteins based on molecular size by filtration through a porous matrix (swollen gel), from which larger molecules are excluded.	gel-filtration evidence
ECO_0001096	A type of spectrometry evidence resulting from identifying the amount and type of material entities present in a sample by fragmenting it and measuring the mass-to-charge ratio of the resulting particles.	mass spectrometry evidence
ECO_0001113	A type of mutant phenotype evidence resulting from the change in a single nucleotide.	point mutation phenotypic evidence
ECO_0001127	A type of physical interaction evidence based on real-time, rapid plasmon generation on the interface between a planar surface and vacuum that measures changes in refractive index close to the sensor surface when an analyte and its immobilized ligand bind to observe and characterize molecular interaction.	surface plasmon resonance evidence
ECO_0001171	A type of crystallography evidence that is used in a manual assertion.	crystallography evidence used in manual assertion
ECO_0001175	A type of deletion mutation phenotypic evidence that is used in a manual assertion.	deletion mutation phenotypic evidence used in manual assertion
ECO_0001184	A type of gel-filtration evidence that is used in a manual assertion.	gel-filtration evidence used in manual assertion
ECO_0001272	A type of high-performance liquid chromatography evidence that is used in a manual assertion.	high-performance liquid chromatography evidence used in manual assertion
ECO_0001582	A type of liquid chromatography coupled with tandem mass spectrometry evidence that is used in a manual assertion.	liquid chromatography coupled with tandem mass spectrometry evidence used in manual assertion
ECO_0001807	A type of electrophoretic mobility shift that is used in a manual assertion.	electrophoretic mobility shift assay evidence used in manual assertion
ECO_0001823	A type of crystallography evidence where a purified sample at high concentration is crystallised and the crystals are exposed to an x ray beam to obtain three dimensional molecular structure of proteins and biological macromolecules.	x-ray crystallography evidence
ECO_0001825	A type of affinity evidence where the absorbed or released heat of a biomolecular binding event is directly measured in a reference cell and sample cell after the addition of a ligand using a microcalorimeter for a complete thermodynamic profile of the molecular interaction.	isothermal titration calorimetry evidence
ECO_0005031	A type of experimental evidence resulting from the visualization and examination of chemical and/or molecular structures.	structure determination evidence
ECO_0005033	A type of microscopy evidence and structure determination evidence resulting from an electron beam utilized to create an image.	electron microscopy evidence
ECO_0005509	A type of mutant phenotype evidence resulting from a mutation in which there is an insertion of one or more contiguous nucleotides.	insertion mutation phenotypic evidence
ECO_0005644	A type of immunoprecipitation evidence that is used in a manual assertion.	immunoprecipitation evidence used in manual assertion
ECO_0005670	A type of x-ray crystallography evidence that is used in a manual assertion.	x-ray crystallography evidence used in manual assertion
ECO_0005671	A type of x-ray crystallography evidence that is used in an automatic assertion.	x-ray crystallography evidence used in automatic assertion
ECO_0005801	A type of enzyme assay evidence that is used in a manual assertion.	enzymatic activity assay evidence used in manual assertion
ECO_0005805	A type of yeast 2-hybrid evidence that is used in a manual assertion.	yeast 2-hybrid evidence used in manual assertion
ECO_0006030	A type of co-immunoprecipitation evidence that is used in a manual assertion.	co-immunoprecipitation evidence used in manual assertion
ECO_0006064	A type of cell-free assay evidence that is used in a manual assertion.	cell-free assay evidence used in manual assertion
ECO_0006074	A type of physical interaction evidence that is used in manual assertion where a cellular component subunit is isolated as part of purification of its larger complex.	co-purification evidence used in manual assertion
ECO_0006181	A type of electron microscopy evidence where the sample being studied has been cooled to cryogenic temperatures (typically below -153 degrees Celsius) prior to the experiment.	cryogenic electron microscopy evidence
ECO_0006249	A type of bait-prey interaction evidence resulting from an affinity purification in-vitro technique used to detect physical interactions between two or more proteins, where a molecule of interest - a "bait" - is immobilized and incubated with a protein source containing putative "prey" proteins.	bait-prey protein pull-down evidence
ECO_0006341	A type of structure determination evidence in which a computational tool is used to generate a model of structure(s) for a molecule.	computational structure modeling evidence
ECO_0006350	A type of molecule detection assay evidence in which the detection of the interaction between molecules is done without the use of labels and is instead based on the phase shift-wavelength correlation created between interference patterns off of two unique surfaces on the tip of a biosensor, where the ligand is immobilized onto a bio compatible biosensor while the analyte is in solution.	bio-layer interferometry evidence
ECO_0006368	A type of computational structure modeling evidence that is used in a manual assertion.	computational structure modeling evidence used in manual assertion
ECO_0007003	A type of high throughput genetic interaction phenotypic evidence that is used in a manual assertion.	high throughput genetic interaction phenotypic evidence used in manual assertion
ECO_0007161	A type of nonsense mutation phenotypic evidence that is used in a manual assertion.	nonsense mutation phenotypic evidence used in manual assertion
ECO_0007269	A type of frameshift mutation phenotypic evidence that is used in an automatic assertion.	frameshift mutation phenotypic evidence used in automatic assertion
ECO_0007379	A type of deletion mutation phenotypic evidence that is used in an automatic assertion.	deletion mutation phenotypic evidence used in automatic assertion
